country,imports,exports,total
US,829370181340.0,1293921602920.0,2123291784260.0
CN,199960930640.0,74128078308.0,274089008948.0
MX,114864815283.0,19847869044.0,134712684327.0
GB,22175582772.0,95248315521.0,117423898293.0
JP,47791002292.0,32893364907.0,80684367199.0
DE,54786494424.0,18684827951.0,73471322375.0
KR,39242281164.0,16523141952.0,55765423116.0
VN,38911253956.0,2749483057.0,41660737013.0
IT,29377088984.0,8243830010.0,37620918994.0
FR,22592425637.0,11032403980.0,33624829617.0
BR,24865625519.0,6384129465.0,31249754984.0
IN,20143288774.0,10384472367.0,30527761141.0
CH,20453687176.0,9093920437.0,29547607613.0
NL,9942733560.0,19201957265.0,29144690825.0
TW,17269919089.0,4399022640.0,21668941729.0
PE,16229440433.0,3510505163.0,19739945596.0
BE,9643752234.0,8465290692.0,18109042926.0
TH,13187530496.0,2471919221.0,15659449717.0
ES,9835309449.0,5421086508.0,15256395957.0
AU,8062169028.0,7165384627.0,15227553655.0
ID,7719110421.0,6035647811.0,13754758232.0
MY,9310032309.0,3369801710.0,12679834019.0
SE,10758931416.0,1902987934.0,12661919350.0
IE,10339842527.0,2187674110.0,12527516637.0
CA,12280217696.0,0.0,12280217696.0
PL,8073062639.0,2990012099.0,11063074738.0
SG,3717928273.0,6204674645.0,9922602918.0
TR,7032272489.0,2663518499.0,9695790988.0
HK,794148470.0,8312553031.0,9106701501.0
BD,5599756246.0,2548922318.0,8148678564.0
SA,4659216324.0,3438590793.0,8097807117.0
NO,2685980870.0,5333144259.0,8019125129.0
ZA,6597674118.0,1210008163.0,7807682281.0
AT,6745038036.0,984153307.0,7729191343.0
AE,1656086488.0,6016984975.0,7673071463.0
CO,5001121378.0,2496548054.0,7497669432.0
PH,4513743816.0,2710801548.0,7224545364.0
NG,5510071445.0,1538699807.0,7048771252.0
CL,4897537837.0,1946046340.0,6843584177.0
DK,5151666295.0,1302097657.0,6453763952.0
AR,5172728069.0,983547605.0,6156275674.0
KH,6027185893.0,103208155.0,6130394048.0
PT,4353801175.0,1220403323.0,5574204498.0
FI,3905093653.0,1484573178.0,5389666831.0
IL,3090929138.0,1394347316.0,4485276454.0
MA,2558472916.0,1920736255.0,4479209171.0
EC,2993817169.0,1317418972.0,4311236141.0
DZ,572079007.0,3406448712.0,3978527719.0
NZ,2908133680.0,1026560271.0,3934693951.0
GT,2172906735.0,1311002854.0,3483909589.0
CZ,2613930895.0,701526986.0,3315457881.0
DO,2507060676.0,562119851.0,3069180527.0
HU,2765729514.0,276541165.0,3042270679.0
NI,2859031878.0,176195390.0,3035227268.0
MR,2862359567.0,103488198.0,2965847765.0
SK,2604842036.0,97441925.0,2702283961.0
PK,1497996304.0,1119160181.0,2617156485.0
CI,2181428827.0,280654218.0,2462083045.0
CR,1764821627.0,622955200.0,2387776827.0
RO,1565817850.0,720697334.0,2286515184.0
EG,910017133.0,1109046624.0,2019063757.0
CU,1240975490.0,679707631.0,1920683121.0
UA,604286690.0,1166689473.0,1770976163.0
BG,1014058004.0,725966034.0,1740024038.0
TT,1167686635.0,496489332.0,1664175967.0
HN,1384257294.0,254753117.0,1639010411.0
LK,1270420152.0,251536869.0,1521957021.0
GR,1121454410.0,370811274.0,1492265684.0
GH,585884934.0,852661826.0,1438546760.0
PA,37225110.0,1355415245.0,1392640355.0
KZ,903652978.0,369912071.0,1273565049.0
SI,932014979.0,171825184.0,1103840163.0
LT,664504848.0,350940760.0,1015445608.0
HR,466449991.0,508550211.0,975000202.0
TN,807498754.0,153101825.0,960600579.0
BH,356987611.0,570913597.0,927901208.0
LU,435627254.0,447985828.0,883613082.0
IR,113702550.0,769805783.0,883508333.0
BO,819097598.0,38883342.0,857980940.0
QA,480654966.0,325545256.0,806200222.0
BQ,40470.0,746163778.0,746204248.0
LV,209744537.0,507899794.0,717644331.0
VE,69377636.0,639254798.0,708632434.0
GY,580464600.0,127913566.0,708378166.0
SV,252135564.0,442398632.0,694534196.0
JO,378640273.0,280187360.0,658827633.0
JM,307580121.0,325280572.0,632860693.0
MT,103258040.0,528755951.0,632013991.0
BS,23997341.0,604197544.0,628194885.0
UY,318488604.0,308328190.0,626816794.0
IS,366074202.0,181274418.0,547348620.0
EE,419288515.0,81372134.0,500660649.0
BW,42871874.0,457394922.0,500266796.0
OM,209530512.0,276434564.0,485965076.0
KE,153256169.0,307437080.0,460693249.0
CD,384654833.0,58364228.0,443019061.0
KW,95298523.0,339014590.0,434313113.0
AO,8135081.0,407619072.0,415754153.0
RS,293755179.0,113705324.0,407460503.0
LB,151571812.0,242891455.0,394463267.0
GN,156073898.0,228217335.0,384291233.0
MM,342480721.0,26439405.0,368920126.0
ET,177847994.0,178496274.0,356344268.0
GE,76840315.0,271726753.0,348567068.0
RU,188469513.0,97393294.0,285862807.0
BM,1179728.0,283110179.0,284289907.0
MG,263146883.0,20909472.0,284056355.0
PY,211493168.0,71248306.0,282741474.0
HT,99906599.0,181816701.0,281723300.0
TZ,95631059.0,176169886.0,271800945.0
ZM,196953807.0,68442918.0,265396725.0
CM,57090404.0,197348990.0,254439394.0
AL,56792275.0,185239513.0,242031788.0
SN,18660506.0,220554900.0,239215406.0
IQ,2073916.0,235201936.0,237275852.0
LY,694329.0,230685745.0,231380074.0
SR,160288763.0,70331854.0,230620617.0
PG,22211839.0,207272440.0,229484279.0
TG,57445324.0,151544763.0,208990087.0
UG,83350150.0,108497928.0,191848078.0
MK,41119200.0,149733760.0,190852960.0
MZ,21497682.0,153193665.0,174691347.0
