date,country,imports,exports,total
2024-01,US,27933282779.0,47636497478.0,75569780257.0
2024-01,CN,6438148587.0,1989759638.0,8427908225.0
2024-01,MX,3465489139.0,693213303.0,4158702442.0
2024-01,JP,1643791074.0,1253108301.0,2896899375.0
2024-01,DE,1794567255.0,486608056.0,2281175311.0
2024-01,GB,581602848.0,1667455258.0,2249058106.0
2024-01,KR,1120940199.0,736731424.0,1857671623.0
2024-01,IT,1000745539.0,180568827.0,1181314366.0
2024-01,VN,1013880235.0,48271611.0,1062151846.0
2024-01,IN,598288604.0,462635535.0,1060924139.0
2024-01,BR,827500837.0,145510329.0,973011166.0
2024-01,FR,624932721.0,297888802.0,922821523.0
2024-01,NL,224907786.0,550696649.0,775604435.0
2024-01,TW,576273409.0,180546995.0,756820404.0
2024-01,PE,607655680.0,120007253.0,727662933.0
2024-01,BE,352505699.0,362272341.0,714778040.0
2024-01,HK,32121504.0,638930167.0,671051671.0
2024-01,CH,399197907.0,199141882.0,598339789.0
2024-01,ES,365389617.0,137616263.0,503005880.0
2024-01,TH,377967970.0,62746192.0,440714162.0
2024-01,CA,440648996.0,0.0,440648996.0
2024-01,PL,335710957.0,94350751.0,430061708.0
2024-01,AU,206537159.0,209897875.0,416435034.0
2024-01,IE,346098684.0,48488326.0,394587010.0
2024-01,SE,350732376.0,31178852.0,381911228.0
2024-01,MY,250783479.0,106365942.0,357149421.0
2024-01,ID,202752954.0,149887895.0,352640849.0
2024-01,DK,304502104.0,17082501.0,321584605.0
2024-01,TR,233638571.0,75839320.0,309477891.0
2024-01,AE,89228103.0,159971862.0,249199965.0
2024-01,SG,120327648.0,123473013.0,243800661.0
2024-01,CL,198865757.0,42203935.0,241069692.0
2024-01,FI,96675848.0,136855548.0,233531396.0
2024-01,AT,211797645.0,21550946.0,233348591.0
2024-01,CO,135154645.0,88634665.0,223789310.0
2024-01,NO,51769025.0,170735620.0,222504645.0
2024-01,PH,131502596.0,87030098.0,218532694.0
2024-01,SA,2681345.0,198414777.0,201096122.0
2024-01,BD,156078570.0,41244850.0,197323420.0
2024-01,DZ,16905039.0,173556053.0,190461092.0
2024-01,NG,135912479.0,51444045.0,187356524.0
2024-01,IL,141514857.0,35437196.0,176952053.0
2024-01,EC,134599544.0,20983788.0,155583332.0
2024-01,KH,146741895.0,3542106.0,150284001.0
2024-01,PT,126180025.0,20976300.0,147156325.0
2024-01,CZ,114019215.0,23555225.0,137574440.0
2024-01,MA,67866244.0,60919042.0,128785286.0
2024-01,AR,94125688.0,29557815.0,123683503.0
2024-01,NZ,91995170.0,29479807.0,121474977.0
2024-01,ZA,80483901.0,37614958.0,118098859.0
2024-01,GT,60693335.0,46655765.0,107349100.0
2024-01,PA,749801.0,94542453.0,95292254.0
2024-01,HU,82002240.0,5214774.0,87217014.0
2024-01,CR,62885562.0,20869385.0,83754947.0
2024-01,BQ,0.0,80866196.0,80866196.0
2024-01,TT,52601319.0,11364872.0,63966191.0
2024-01,BG,51891276.0,8420119.0,60311395.0
2024-01,NI,56759205.0,2614925.0,59374130.0
2024-01,PK,43026364.0,16304159.0,59330523.0
2024-01,SK,51828301.0,5205726.0,57034027.0
2024-01,DO,31202822.0,24319651.0,55522473.0
2024-01,GH,22860255.0,30577137.0,53437392.0
2024-01,GR,37134481.0,15382390.0,52516871.0
2024-01,MR,46460870.0,1964427.0,48425297.0
2024-01,HR,42523664.0,3640002.0,46163666.0
2024-01,LK,40824505.0,4691577.0,45516082.0
2024-01,RO,38239615.0,6598738.0,44838353.0
2024-01,EG,26434377.0,15803773.0,42238150.0
2024-01,HN,34153225.0,5730312.0,39883537.0
2024-01,BW,948824.0,37222541.0,38171365.0
2024-01,NC,37421336.0,410130.0,37831466.0
2024-01,UA,18373826.0,18150538.0,36524364.0
2024-01,SV,8732171.0,25224083.0,33956254.0
2024-01,VE,371454.0,32251626.0,32623080.0
2024-01,CU,15212307.0,13775806.0,28988113.0
2024-01,CI,23528601.0,5388928.0,28917529.0
2024-01,SR,25582553.0,3061982.0,28644535.0
2024-01,LT,16793317.0,9763223.0,26556540.0
2024-01,SI,23589633.0,1154062.0,24743695.0
2024-01,UY,18913045.0,5608002.0,24521047.0
2024-01,OM,14718764.0,9729322.0,24448086.0
2024-01,IR,2538486.0,21440693.0,23979179.0
2024-01,QA,13003413.0,10938521.0,23941934.0
2024-01,JO,14890518.0,9041768.0,23932286.0
2024-01,BO,21324335.0,1595584.0,22919919.0
2024-01,LU,17785416.0,4759526.0,22544942.0
2024-01,KE,3689018.0,18820955.0,22509973.0
2024-01,TN,18612401.0,2737750.0,21350151.0
2024-01,BS,1275064.0,18674812.0,19949876.0
2024-01,GY,15928943.0,2639471.0,18568414.0
2024-01,HT,3292937.0,13796798.0,17089735.0
2024-01,EE,9856248.0,6577630.0,16433878.0
2024-01,IS,11317277.0,4698456.0,16015733.0
2024-01,JM,5514170.0,10071375.0,15585545.0
2024-01,MG,14557338.0,46330.0,14603668.0
2024-01,RU,10668258.0,3787369.0,14455627.0
2024-01,RS,8651371.0,1699705.0,10351076.0
2024-01,MT,6180078.0,4152073.0,10332151.0
2024-01,ET,5435684.0,4813887.0,10249571.0
2024-01,LB,7674998.0,2448762.0,10123760.0
2024-01,LV,6675922.0,3192026.0,9867948.0
2024-01,GN,6897495.0,2629519.0,9527014.0
2024-01,MM,6938851.0,1705500.0,8644351.0
2024-01,UM,798051.0,7812106.0,8610157.0
2024-01,UG,1843476.0,6619392.0,8462868.0
2024-01,NP,1154526.0,7172010.0,8326536.0
2024-01,GE,3023742.0,4521627.0,7545369.0
2024-01,KZ,1955321.0,5383681.0,7339002.0
2024-01,IQ,98022.0,6986961.0,7084983.0
2024-01,AL,1070443.0,5986627.0,7057070.0
2024-01,CD,6160349.0,879044.0,7039393.0
2024-01,TZ,1651460.0,5224796.0,6876256.0
2024-01,TG,3422057.0,3174491.0,6596548.0
2024-01,SN,425138.0,5760613.0,6185751.0
2024-01,KW,651.0,5594697.0,5595348.0
2024-01,BH,3940652.0,1565830.0,5506482.0
2024-01,PG,130418.0,5369484.0,5499902.0
2024-01,LY,47520.0,5439816.0,5487336.0
2024-01,MD,4838086.0,216513.0,5054599.0
2024-01,PM,1885.0,4573509.0,4575394.0
2024-01,MZ,1061202.0,2952548.0,4013750.0
2024-01,LA,3911728.0,23432.0,3935160.0
2024-01,BB,1102382.0,2772082.0,3874464.0
2024-01,MV,43748.0,3685996.0,3729744.0
2024-01,LR,3073998.0,530572.0,3604570.0
2024-01,CM,1797409.0,1584767.0,3382176.0
