date,hs2,hs2_name,imports,exports,total
2024-01,27,Mineral fuels and oils,3965131976.0,17414737647.0,21379869623.0
2024-01,87,Vehicles,8370434302.0,6409903733.0,14780338035.0
2024-01,84,Machinery and mechanical appliances,8841049845.0,4257579796.0,13098629641.0
2024-01,85,Electrical machinery,5561199718.0,1833130350.0,7394330068.0
2024-01,71,Precious stones and metals,1812263228.0,3133097847.0,4945361075.0
2024-01,39,Plastics,2052788564.0,1757508809.0,3810297373.0
2024-01,30,Pharmaceutical products,2084413132.0,1003947626.0,3088360758.0
2024-01,99,Unknown,729656647.0,1907152985.0,2636809632.0
2024-01,90,Optical and medical instruments,1656172005.0,806670827.0,2462842832.0
2024-01,72,Iron and steel,958766692.0,1135814085.0,2094580777.0
2024-01,73,Articles of iron and steel,1272165211.0,710714707.0,1982879918.0
2024-01,76,Aluminium,532779082.0,1335460243.0,1868239325.0
2024-01,44,Wood products,396795393.0,1379618390.0,1776413783.0
2024-01,88,Aircraft and spacecraft,920095288.0,780013952.0,1700109240.0
2024-01,94,Furniture,993375453.0,627220586.0,1620596039.0
2024-01,48,Paper and paperboard,727331278.0,883458809.0,1610790087.0
2024-01,26,"Ores, slag and ash",357384796.0,1194496640.0,1551881436.0
2024-01,28,Inorganic chemicals,511884047.0,771683902.0,1283567949.0
2024-01,07,Vegetables,526180045.0,733609904.0,1259789949.0
2024-01,29,Organic chemicals,757152711.0,467653105.0,1224805816.0
2024-01,19,Prepared cereal products,445691194.0,754961425.0,1200652619.0
2024-01,10,Cereals,201785277.0,950957462.0,1152742739.0
2024-01,02,Meat and edible meat offal,271597829.0,866180750.0,1137778579.0
2024-01,40,Rubber,722486901.0,407881386.0,1130368287.0
2024-01,38,Miscellaneous chemical products,714074191.0,401155390.0,1115229581.0
2024-01,12,Oil seeds,158081547.0,814198690.0,972280237.0
2024-01,74,Copper,389783103.0,481253793.0,871036896.0
2024-01,31,Fertilizers,228921538.0,637744014.0,866665552.0
2024-01,15,Animal or vegetable fats and oils,199307527.0,623718728.0,823026255.0
2024-01,33,Essential oils and cosmetics,531796230.0,250732964.0,782529194.0
2024-01,22,Beverages and spirits,564731903.0,186356160.0,751088063.0
2024-01,21,Miscellaneous food preparations,437995612.0,294240526.0,732236138.0
2024-01,03,Fish and seafood,253439073.0,451344683.0,704783756.0
2024-01,08,Fruit and nuts,628072717.0,66060783.0,694133500.0
2024-01,20,Prepared vegetables and fruits,311492543.0,372745388.0,684237931.0
2024-01,23,Food industry residues,316543515.0,362785560.0,679329075.0
2024-01,47,Pulp of wood,57416223.0,602581199.0,659997422.0
2024-01,61,Knitted apparel,543070885.0,56821437.0,599892322.0
2024-01,62,Woven apparel,509743271.0,87043802.0,596787073.0
2024-01,83,Miscellaneous metal articles,316199014.0,209954527.0,526153541.0
2024-01,18,Cocoa products,225696285.0,275691244.0,501387529.0
2024-01,95,Toys and sports equipment,406523746.0,90592429.0,497116175.0
2024-01,34,Soap and cleaning products,352851873.0,140732607.0,493584480.0
2024-01,75,Nickel,57603846.0,342875045.0,400478891.0
2024-01,32,Tanning and dye extracts,254384085.0,144230078.0,398614163.0
2024-01,70,Glass products,277612930.0,76322190.0,353935120.0
2024-01,17,Sugars and confectionery,192934187.0,138633667.0,331567854.0
2024-01,82,Tools and cutlery,247411905.0,77115006.0,324526911.0
2024-01,68,Stone and cement articles,195854339.0,119229648.0,315083987.0
2024-01,98,Unknown,27626488.0,271309951.0,298936439.0
2024-01,16,Prepared meat and fish,165743597.0,132605302.0,298348899.0
2024-01,09,"Coffee, tea and spices",206972704.0,89486282.0,296458986.0
2024-01,96,Miscellaneous manufactured articles,185257533.0,110833714.0,296091247.0
2024-01,64,Footwear,274253632.0,18698131.0,292951763.0
2024-01,25,"Salt, sulphur, stone, cement",101826820.0,187456770.0,289283590.0
2024-01,49,Printed books and media,194887011.0,85478800.0,280365811.0
2024-01,01,Live animals,53735147.0,218620228.0,272355375.0
2024-01,86,Railway equipment,216935280.0,55061113.0,271996393.0
2024-01,42,Leather goods,223344788.0,29099611.0,252444399.0
2024-01,11,Milling products,47872746.0,145088234.0,192960980.0
2024-01,35,Protein substances,146997704.0,39802104.0,186799808.0
2024-01,63,Other textile articles,150396940.0,32355988.0,182752928.0
2024-01,79,Zinc,18934958.0,141721195.0,160656153.0
2024-01,04,Dairy products,95115869.0,54164906.0,149280775.0
2024-01,89,Ships and boats,125286677.0,23513106.0,148799783.0
2024-01,69,Ceramic products,123276881.0,10313081.0,133589962.0
2024-01,06,Live trees and plants,59712089.0,63890156.0,123602245.0
2024-01,81,Other base metals,49872952.0,55741345.0,105614297.0
2024-01,59,Impregnated textiles,53011104.0,52437432.0,105448536.0
2024-01,56,Wadding and felt,80745356.0,23443369.0,104188725.0
2024-01,93,Arms and ammunition,62796819.0,29912401.0,92709220.0
2024-01,36,Explosives,34102674.0,45559381.0,79662055.0
2024-01,57,Carpets,69704508.0,5607785.0,75312293.0
2024-01,24,Tobacco products,63466626.0,9813493.0,73280119.0
2024-01,54,Man-made filaments,44017435.0,28263659.0,72281094.0
2024-01,91,Clocks and watches,60215371.0,10896300.0,71111671.0
