hs2,hs2_name,imports,exports,total
27,Mineral fuels and oils,110072366320.0,442944560011.0,553016926331.0
87,Vehicles,277602323379.0,167492101076.0,445094424455.0
84,Machinery and mechanical appliances,266786662343.0,128763525166.0,395550187509.0
85,Electrical machinery,161098663333.0,54019018881.0,215117682214.0
71,Precious stones and metals,77205694232.0,131329289349.0,208534983581.0
39,Plastics,60288447146.0,47499050988.0,107787498134.0
99,Unknown,35484403927.0,58925790781.0,94410194708.0
30,Pharmaceutical products,59959590900.0,31926159432.0,91885750332.0
90,Optical and medical instruments,49992132654.0,26758540732.0,76750673386.0
88,Aircraft and spacecraft,28474154103.0,41078006980.0,69552161083.0
76,Aluminium,16639311169.0,38708599847.0,55347911016.0
73,Articles of iron and steel,36349716340.0,16630276359.0,52979992699.0
44,Wood products,10246997033.0,39200990856.0,49447987889.0
26,"Ores, slag and ash",11278752125.0,36595921055.0,47874673180.0
72,Iron and steel,24548560065.0,23131044375.0,47679604440.0
94,Furniture,29545367011.0,17926250738.0,47471617749.0
48,Paper and paperboard,21593897521.0,23721812846.0,45315710367.0
28,Inorganic chemicals,17011439250.0,20684338768.0,37695778018.0
19,Prepared cereal products,13991635452.0,21917800115.0,35909435567.0
29,Organic chemicals,23738373157.0,11001411214.0,34739784371.0
02,Meat and edible meat offal,9815497985.0,23952974885.0,33768472870.0
10,Cereals,3731330441.0,29716711599.0,33448042040.0
40,Rubber,21902770467.0,11317898577.0,33220669044.0
38,Miscellaneous chemical products,21638248868.0,10645448877.0,32283697745.0
07,Vegetables,12077161161.0,19101494145.0,31178655306.0
31,Fertilizers,8390876271.0,22009951345.0,30400827616.0
12,Oil seeds,4090882974.0,24937298407.0,29028181381.0
74,Copper,13085857874.0,15785616855.0,28871474729.0
22,Beverages and spirits,19013927218.0,5544211739.0,24558138957.0
03,Fish and seafood,8065935632.0,15905828363.0,23971763995.0
15,Animal or vegetable fats and oils,7690218721.0,16157124860.0,23847343581.0
33,Essential oils and cosmetics,15823692579.0,7969633919.0,23793326498.0
08,Fruit and nuts,19459587112.0,2808146194.0,22267733306.0
18,Cocoa products,11317991375.0,10588123890.0,21906115265.0
21,Miscellaneous food preparations,12968600660.0,8228963607.0,21197564267.0
61,Knitted apparel,19222474136.0,1638773963.0,20861248099.0
20,Prepared vegetables and fruits,9496059023.0,10426016885.0,19922075908.0
95,Toys and sports equipment,16450279418.0,2797747950.0,19248027368.0
62,Woven apparel,15515286941.0,2830223043.0,18345509984.0
47,Pulp of wood,1660859224.0,16580787543.0,18241646767.0
23,Food industry residues,8278363318.0,9500109728.0,17778473046.0
34,Soap and cleaning products,10866301466.0,4080125281.0,14946426747.0
