date,hs,name,imports,exports,total
2024-01,1001.19.90,Wheat and meslin - Durum wheat - Other,0.0,218341899.0,218341899.0
2024-01,1001.99.31,Wheat and meslin - Other - Other,0.0,146326485.0,146326485.0
2024-01,1001.99.32,Wheat and meslin - Other - Other,0.0,362333337.0,362333337.0
2024-01,1205.10.20,"Rape or colza seeds, whether or not broken - 1.- For the purposes of subheading , the expression “low erucic acid rape or colza seeds” means",0.0,331264712.0,331264712.0
2024-01,1514.11.00,"Rape, colza or mustard oil and fractions thereof, whether or not - Low erucic acid rape or colza oil and its fractions - 2.- For the purposes of subheadings and 1514.19, the expression “low erucic acid rape or colza",0.0,120877408.0,120877408.0
2024-01,1514.19.00,"Rape, colza or mustard oil and fractions thereof, whether or not - Low erucic acid rape or colza oil and its fractions - 2.- For the purposes of subheadings 1514.11 and , the expression “low erucic acid rape or colza",0.0,370350168.0,370350168.0
2024-01,1905.90.10,"Bread, pastry, cakes, biscuits and other bakers' wares, whether - Sweet biscuits; waffles and wafers - Other",0.0,412165856.0,412165856.0
2024-01,2004.10.00,Other vegetables prepared or preserved otherwise than by - Potatoes,0.0,232193641.0,232193641.0
2024-01,2306.41.00,"Oil-cake and other solid residues, whether or not ground or in - Of rape or colza seeds - 1.- For the purposes of subheading , the expression “low erucic acid rape or colza seeds” means",0.0,205141891.0,205141891.0
2024-01,2601.11.10,"Iron ores and concentrates, including roasted iron pyrites - Iron ores and concentrates, other than roasted iron pyrites - Non-agglomerated",0.0,443601023.0,443601023.0
2024-01,2601.12.00,"Iron ores and concentrates, including roasted iron pyrites - Iron ores and concentrates, other than roasted iron pyrites - Agglomerated",0.0,242772340.0,242772340.0
2024-01,2603.00.10,Copper ores and concentrates - 26.03 Copper ores and concentrates.,0.0,329691658.0,329691658.0
2024-01,2701.12.10,"Coal; briquettes, ovoids and similar solid fuels manufactured - Coal, whether or not pulverised, but not agglomerated - 2.- For the purposes of subheading , “bituminous coal” means coal having a volatile matter limit (on",0.0,752649329.0,752649329.0
2024-01,2709.00.00 49,"Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,",1284913345.0,0.0,1284913345.0
2024-01,2709.00.10,"Petroleum oils and oils obtained from bituminous minerals, - 27.09 Petroleum oils and oils obtained from bituminous minerals,",0.0,8457908049.0,8457908049.0
